Region_Name,Region_Code,Country,Unemp_Rate_2022,Unemp_Rate_2025
Alabama,,USA,2.49,3.11
Alaska,,USA,4.26,4.71
Arizona,,USA,3.72,4.09
Arkansas,,USA,3.18,3.75
California,,USA,4.29,5.42
Colorado,,USA,3.1,4.52
Connecticut,,USA,4.03,3.7
Delaware,,USA,4.18,4.07
District of Columbia,,USA,4.7,5.86
Florida,,USA,3.02,3.74
Georgia,,USA,3.17,3.51
Hawaii,,USA,3.26,2.75
Idaho,,USA,2.88,3.69
Illinois,,USA,4.58,4.65
Indiana,,USA,3.07,3.86
Iowa,,USA,2.82,3.55
Kansas,,USA,2.72,3.8
Kentucky,,USA,4.05,4.99
Los Angeles County,,USA,4.96,5.81
Louisiana,,USA,3.67,4.43
Maine,,USA,2.84,3.35
Maryland,,USA,2.97,3.36
Massachusetts,,USA,3.62,4.61
Michigan,,USA,4.13,5.3
Minnesota,,USA,2.48,3.37
Mississippi,,USA,3.73,3.87
Missouri,,USA,2.6,3.94
Montana,,USA,2.63,2.86
Nebraska,,USA,2.15,2.98
Nevada,,USA,5.2,5.5
New Hampshire,,USA,2.42,3.04
New Jersey,,USA,3.85,4.89
New Mexico,,USA,4.07,4.24
New York,,USA,4.29,4.18
New York city,,USA,5.68,5.07
North Carolina,,USA,3.68,3.71
North Dakota,,USA,2.09,2.56
Ohio,,USA,3.97,4.81
Oklahoma,,USA,3.02,3.22
Oregon,,USA,3.92,4.82
Pennsylvania,,USA,4.12,3.95
Rhode Island,,USA,3.23,4.69
South Carolina,,USA,3.2,4.25
South Dakota,,USA,1.89,1.89
Tennessee,,USA,3.35,3.59
Texas,,USA,3.92,4.09
Utah,,USA,2.37,3.26
Vermont,,USA,2.35,2.58
Virginia,,USA,2.69,3.37
Washington,,USA,4.06,4.46
West Virginia,,USA,3.86,3.88
Wisconsin,,USA,2.81,3.18
Wyoming,,USA,3.43,3.36
Newfoundland and Labrador,,CAN,11.3,10.1
Prince Edward Island,,CAN,7.7,8.0
Nova Scotia,,CAN,6.6,6.6
New Brunswick,,CAN,7.2,7.1
Quebec,,CAN,4.3,5.6
Ontario,,CAN,5.6,7.7
Manitoba,,CAN,4.5,5.9
Saskatchewan,,CAN,4.6,5.2
Alberta,,CAN,5.8,7.2
British Columbia,,CAN,4.6,6.2
Aguascalientes,,MEX,3.9,3.5
Baja California,,MEX,2.6,2.5
Baja California Sur,,MEX,2.7,2.6
Campeche,,MEX,3.1,2.3
Coahuila,,MEX,4.1,4.0
Colima,,MEX,2.5,2.3
Chiapas,,MEX,2.7,2.2
Chihuahua,,MEX,2.5,2.5
Mexico City,,MEX,5.6,4.7
Durango,,MEX,3.4,3.2
Guanajuato,,MEX,3.1,3.2
Guerrero,,MEX,1.5,1.3
Hidalgo,,MEX,2.8,2.6
Jalisco,,MEX,2.4,2.4
Michoacan,,MEX,1.8,1.9
Morelos,,MEX,2.2,2.0
Nayarit,,MEX,2.6,2.4
Nuevo Leon,,MEX,3.8,3.4
Oaxaca,,MEX,1.6,1.5
Puebla,,MEX,3.1,2.6
Queretaro,,MEX,4.4,3.4
Quintana Roo,,MEX,2.9,2.7
San Luis Potosi,,MEX,3.5,3.2
Sinaloa,,MEX,3.0,2.6
Sonora,,MEX,3.1,3.0
Tabasco,,MEX,5.9,4.8
Tamaulipas,,MEX,3.4,3.3
Tlaxcala,,MEX,4.0,3.6
Veracruz,,MEX,3.1,2.5
Yucatan,,MEX,1.7,1.7
Zacatecas,,MEX,3.5,3.2
